fallo,coord,concurrencia,repeticion,warmup_seconds,measure_seconds,fault_probability,delay_seconds,usuarios_objetivo,usuarios_spawneados,requests_total,requests_fail,tasa_error,checkout_total,checkout_fail,checkout_confirmadas,tasa_abortos_checkout,codigos_http_json,latencia_p50_ms,latencia_p95_ms,latencia_p99_ms,throughput_rps,locust_cpu_pct_media,locust_cpu_pct_max,locust_mem_mb_media,locust_mem_mb_max,locust_warning_detected,locust_warning_texto,inicio_epoch,duracion_segundos
timing,saga,400,3,60.0,300.0,0.1,5.0,400,400,4424,3380,0.764014,462,390,72,0.844156,"{""0"": 2946, ""200"": 972, ""201"": 72, ""401"": 180, ""500"": 56, ""503"": 198}",17000,90000,90000,11.23138876589321,0.5,97.7,105.91,110.92,False,,1788727698.205,396.143
none,2pc,50,4,60.0,300.0,0.0,5.0,50,50,877,0,0.0,412,0,412,0.0,"{""200"": 465, ""201"": 415}",17000,36000,46000,2.664198915435705,0.0,0.0,74.81,77.0,False,,1788728274.023,332.282
none,2pc,100,4,60.0,300.0,0.0,5.0,100,100,1021,55,0.053869,442,19,423,0.042986,"{""0"": 1, ""200"": 543, ""201"": 424, ""500"": 3, ""503"": 51}",33000,62000,75000,2.7755473207882466,0.53,97.7,79.11,81.66,False,,1788728851.453,370.49
none,2pc,200,4,60.0,300.0,0.0,5.0,200,200,1449,558,0.385093,504,318,186,0.630952,"{""0"": 97, ""200"": 705, ""201"": 187, ""401"": 16, ""409"": 24, ""500"": 107, ""503"": 314}",49000,90000,90000,4.011145742659404,0.0,0.0,86.14,91.04,False,,1788729561.199,363.026
none,2pc,400,4,60.0,300.0,0.0,5.0,400,400,3263,2357,0.722341,282,266,16,0.943262,"{""0"": 1843, ""200"": 891, ""201"": 16, ""401"": 152, ""409"": 10, ""500"": 18, ""503"": 335}",17000,92000,92000,8.274562972367608,0.0,0.0,105.13,111.21,False,,1788730395.314,396.386
omission,2pc,50,4,60.0,300.0,0.1,5.0,50,50,866,106,0.122402,389,69,320,0.177378,"{""200"": 440, ""201"": 320, ""500"": 46, ""503"": 61}",18000,36000,46000,2.552984174377069,0.57,97.7,74.77,77.0,False,,1788730962.003,342.262
omission,2pc,100,4,60.0,300.0,0.1,5.0,100,100,880,57,0.064773,385,53,332,0.137662,"{""0"": 12, ""200"": 491, ""201"": 338, ""409"": 3, ""500"": 40, ""503"": 2}",38000,73000,90000,2.458488152308043,0.0,0.0,78.1,81.16,False,,1788731544.383,360.287
omission,2pc,200,4,60.0,300.0,0.1,5.0,200,200,1385,490,0.353791,494,315,179,0.637652,"{""0"": 122, ""200"": 716, ""201"": 184, ""401"": 20, ""409"": 3, ""500"": 146, ""503"": 202}",53000,90000,92000,3.5200513964944644,0.0,0.0,86.73,91.62,False,,1788732260.357,396.062
omission,2pc,400,4,60.0,300.0,0.1,5.0,400,400,3469,2518,0.725858,244,241,3,0.987705,"{""0"": 2104, ""200"": 948, ""201"": 3, ""401"": 181, ""409"": 1, ""500"": 22, ""503"": 210}",17000,92000,92000,8.834955783124842,0.53,104.2,105.36,111.25,False,,1788733125.48,396.142
timing,2pc,50,4,60.0,300.0,0.1,5.0,50,50,779,0,0.0,364,0,364,0.0,"{""200"": 415, ""201"": 365}",18000,40000,47000,2.3358116230687154,0.01,1.6,75.17,77.34,False,,1788733688.203,336.313
timing,2pc,100,4,60.0,300.0,0.1,5.0,100,100,951,148,0.155626,393,84,309,0.21374,"{""0"": 15, ""200"": 494, ""201"": 310, ""409"": 3, ""500"": 24, ""503"": 106}",35000,73000,90000,2.600656032476427,0.0,0.0,78.29,80.8,False,,1788734273.482,368.188
timing,2pc,200,4,60.0,300.0,0.1,5.0,200,200,1682,920,0.546968,449,337,112,0.750557,"{""0"": 98, ""200"": 650, ""201"": 113, ""401"": 16, ""409"": 2, ""500"": 101, ""503"": 703}",37000,90000,90000,4.666719132384647,0.58,104.2,85.79,90.26,False,,1788734979.146,365.774
timing,2pc,400,4,60.0,300.0,0.1,5.0,400,400,3220,2263,0.702795,258,245,13,0.949612,"{""0"": 1452, ""200"": 944, ""201"": 13, ""401"": 168, ""500"": 25, ""503"": 618}",30000,92000,92000,8.162376101032008,0.0,0.0,105.06,110.05,False,,1788735824.778,396.308
none,saga,50,4,60.0,300.0,0.0,5.0,50,50,936,0,0.0,442,0,442,0.0,"{""200"": 494, ""201"": 444}",17000,29000,34000,2.769337303785556,0.0,0.0,74.8,77.22,False,,1788736411.676,340.229
none,saga,100,4,60.0,300.0,0.0,5.0,100,100,1070,42,0.039252,471,15,456,0.031847,"{""0"": 1, ""200"": 572, ""201"": 457, ""500"": 2, ""503"": 39}",31000,55000,64000,2.937926302152718,0.58,104.2,77.98,80.33,False,,1788736982.552,366.015
none,saga,200,4,60.0,300.0,0.0,5.0,200,200,1487,657,0.441829,436,243,193,0.557339,"{""0"": 101, ""200"": 637, ""201"": 194, ""401"": 10, ""409"": 2, ""500"": 83, ""503"": 461}",45000,90000,90000,4.000836547933359,0.0,0.0,85.72,89.73,False,,1788737687.718,373.885
none,saga,400,4,60.0,300.0,0.0,5.0,400,400,3826,2843,0.743074,306,289,17,0.944444,"{""0"": 2572, ""200"": 967, ""201"": 18, ""401"": 167, ""500"": 23, ""503"": 83}",17000,90000,92000,9.710640518984558,0.0,0.0,106.37,112.42,False,,1788738539.13,396.587
omission,saga,50,4,60.0,300.0,0.1,5.0,50,50,923,93,0.100758,436,93,343,0.213303,"{""200"": 487, ""201"": 343, ""500"": 94}",16000,30000,39000,2.7357259229785487,0.0,0.0,75.18,77.43,False,,1788739113.028,344.079
omission,saga,100,4,60.0,300.0,0.1,5.0,100,100,990,42,0.042424,442,39,403,0.088235,"{""200"": 545, ""201"": 406, ""500"": 38, ""503"": 4}",34000,60000,69000,2.7116922446538574,0.0,0.0,78.21,80.9,False,,1788739696.231,367.218
omission,saga,200,4,60.0,300.0,0.1,5.0,200,200,1427,501,0.351086,503,284,219,0.564612,"{""0"": 71, ""200"": 707, ""201"": 219, ""401"": 4, ""500"": 168, ""503"": 262}",51000,89000,90000,3.8012144906065464,0.0,0.0,86.14,90.41,False,,1788740377.799,377.164
omission,saga,400,4,60.0,300.0,0.1,5.0,400,400,3185,2119,0.665306,394,372,22,0.944162,"{""0"": 1673, ""200"": 1044, ""201"": 22, ""401"": 183, ""500"": 33, ""503"": 230}",17000,92000,92000,8.09579526088,0.5,97.7,106.11,112.84,False,,1788741234.593,396.136
timing,saga,50,4,60.0,300.0,0.1,5.0,50,50,840,42,0.05,380,16,364,0.042105,"{""200"": 434, ""201"": 368, ""503"": 42}",18000,34000,40000,2.4822197553564407,0.58,97.7,74.98,76.99,False,,1788741798.79,341.369
timing,saga,100,4,60.0,300.0,0.1,5.0,100,100,944,15,0.01589,417,7,410,0.016787,"{""0"": 1, ""200"": 519, ""201"": 412, ""500"": 2, ""503"": 12}",36000,64000,73000,2.5357628392003098,0.53,97.7,78.12,80.5,False,,1788742383.291,374.004
timing,saga,200,4,60.0,300.0,0.1,5.0,200,200,1418,312,0.220028,559,213,346,0.381038,"{""0"": 50, ""200"": 760, ""201"": 347, ""401"": 8, ""500"": 114, ""503"": 140}",50000,86000,90000,3.659150222121246,0.0,0.0,86.63,91.74,False,,1788743094.756,389.192
timing,saga,400,4,60.0,300.0,0.1,5.0,400,400,3294,2261,0.6864,239,218,21,0.912134,"{""0"": 1835, ""200"": 1012, ""201"": 21, ""401"": 195, ""409"": 10, ""500"": 19, ""503"": 202}",17000,92000,92000,8.351683816435658,0.0,0.0,106.04,112.08,False,,1788743981.166,396.247
none,2pc,50,5,60.0,300.0,0.0,5.0,50,50,681,0,0.0,315,0,315,0.0,"{""200"": 366, ""201"": 316}",21000,44000,56000,2.023902406966625,0.0,0.0,74.9,76.9,False,,1788744559.423,339.915
none,2pc,100,5,60.0,300.0,0.0,5.0,100,100,843,84,0.099644,366,76,290,0.20765,"{""0"": 30, ""200"": 469, ""201"": 293, ""409"": 6, ""500"": 43, ""503"": 5}",36000,86000,90000,2.3601315380086034,0.0,0.0,78.58,81.8,False,,1788745133.111,359.734
none,2pc,200,5,60.0,300.0,0.0,5.0,200,200,1422,562,0.395218,501,356,145,0.710579,"{""0"": 136, ""200"": 715, ""201"": 145, ""401"": 16, ""409"": 31, ""500"": 135, ""503"": 244}",51000,90000,92000,3.6158234647243135,0.0,0.8,86.66,91.58,False,,1788745835.736,396.04
none,2pc,400,5,60.0,300.0,0.0,5.0,400,400,3021,2020,0.668653,353,333,20,0.943343,"{""0"": 1702, ""200"": 981, ""201"": 20, ""401"": 86, ""409"": 4, ""500"": 14, ""503"": 214}",22000,92000,92000,7.661443678014493,0.0,0.0,106.48,111.07,False,,1788746714.269,396.248
omission,2pc,50,5,60.0,300.0,0.1,5.0,50,50,709,62,0.087447,317,38,279,0.119874,"{""200"": 368, ""201"": 279, ""500"": 22, ""503"": 41}",20000,42000,49000,2.1563279153756474,0.0,0.0,74.32,76.35,False,,1788747285.644,332.745
