Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/categorias,339,278,5,632.712775879055,1.9912860000204091,5965.752281999983,240.0796460176991,5.767710709251339,4.729863059504047,5,7,11,22,3500,4000,4500,5000,6000,6000,6000
GET,GET /api/marcas,350,287,5,575.7737140342828,1.7301329999099835,5937.676390999968,788.94,5.954863564123801,4.882988122581517,5,7,10,19,3200,3800,4200,4400,5900,5900,5900
GET,GET /api/productos,785,785,5,832.8776210929914,1.7192130000012185,7671.71051899993,144.17579617834394,13.35590827953481,13.35590827953481,5,7,11,21,4600,5300,6000,6300,7700,7700,7700
GET,GET /api/provincias,147,119,5,224.22581587755496,1.7946220000339963,4816.135714999973,357.1904761904762,2.501042696931996,2.0246536118020924,5,8,15,25,770,1000,3100,3100,4800,4800,4800
,Aggregated,1621,1469,5,680.3087960684746,1.7192130000012185,7671.71051899993,322.7643429981493,27.579525249841947,24.993413073422467,5,7,11,21,3600,4600,5600,6000,6900,7700,7700
