fallo,coord,concurrencia,repeticiones_total,metrica,unidad,n_valido,mediana,ic95_inf,ic95_sup,metodo_ic95,estado
none,2pc,400,5,inconsistencias,ordenes_o_eventos,5,44.0,38.0,54.0,bootstrap_percentil_20000,calculado
none,2pc,400,5,tasa_inconsistencia,proporcion,5,0.189655,0.122186,0.285714,bootstrap_percentil_20000,calculado
none,2pc,400,5,convergencia_compensacion_ms,ms,0,no_verificado,no_verificado,no_verificado,no_verificado,no_verificado
none,saga,400,5,latencia_p95_ms,ms,5,91000.0,83000.0,92000.0,bootstrap_percentil_20000,calculado
none,saga,400,5,throughput_rps,requests/s,5,9.323551,8.276557,10.209378,bootstrap_percentil_20000,calculado
none,saga,400,5,tasa_confirmacion_checkout,proporcion,5,0.107143,0.055556,0.62069,bootstrap_percentil_20000,calculado
none,saga,400,5,tasa_abortos_checkout,proporcion,5,0.892857,0.37931,0.944444,bootstrap_percentil_20000,calculado
none,saga,400,5,inconsistencias,ordenes_o_eventos,5,50.0,27.0,239.0,bootstrap_percentil_20000,calculado
none,saga,400,5,tasa_inconsistencia,proporcion,5,0.15873,0.125436,1.0,bootstrap_percentil_20000,calculado
none,saga,400,5,convergencia_compensacion_ms,ms,3,16956211.666,5630062.736,24783758.058,bootstrap_percentil_20000,calculado
omission,2pc,50,5,latencia_p95_ms,ms,5,36000.0,32000.0,42000.0,bootstrap_percentil_20000,calculado
omission,2pc,50,5,throughput_rps,requests/s,5,2.552984,2.156328,2.735541,bootstrap_percentil_20000,calculado
omission,2pc,50,5,tasa_confirmacion_checkout,proporcion,5,0.829837,0.822622,0.92033,bootstrap_percentil_20000,calculado
omission,2pc,50,5,tasa_abortos_checkout,proporcion,5,0.170163,0.07967,0.177378,bootstrap_percentil_20000,calculado
omission,2pc,50,5,inconsistencias,ordenes_o_eventos,5,42.0,22.0,73.0,bootstrap_percentil_20000,calculado
omission,2pc,50,5,tasa_inconsistencia,proporcion,5,0.115385,0.07309,0.169767,bootstrap_percentil_20000,calculado
omission,2pc,50,5,convergencia_compensacion_ms,ms,0,no_verificado,no_verificado,no_verificado,no_verificado,no_verificado
omission,saga,50,5,latencia_p95_ms,ms,5,33000.0,27000.0,59000.0,bootstrap_percentil_20000,calculado
omission,saga,50,5,throughput_rps,requests/s,5,2.505759,1.827446,3.022678,bootstrap_percentil_20000,calculado
omission,saga,50,5,tasa_confirmacion_checkout,proporcion,5,0.851948,0.786697,0.902128,bootstrap_percentil_20000,calculado
omission,saga,50,5,tasa_abortos_checkout,proporcion,5,0.148052,0.097872,0.213303,bootstrap_percentil_20000,calculado
omission,saga,50,5,inconsistencias,ordenes_o_eventos,5,60.0,39.0,437.0,bootstrap_percentil_20000,calculado
omission,saga,50,5,tasa_inconsistencia,proporcion,5,0.15544,0.101828,1.0,bootstrap_percentil_20000,calculado
omission,saga,50,5,convergencia_compensacion_ms,ms,3,18032364.074,7247437.402,26254880.678,bootstrap_percentil_20000,calculado
omission,2pc,100,5,latencia_p95_ms,ms,5,68000.0,65000.0,73000.0,bootstrap_percentil_20000,calculado
omission,2pc,100,5,throughput_rps,requests/s,5,2.613715,2.458488,2.629502,bootstrap_percentil_20000,calculado
omission,2pc,100,5,tasa_confirmacion_checkout,proporcion,5,0.862338,0.785714,0.896882,bootstrap_percentil_20000,calculado
omission,2pc,100,5,tasa_abortos_checkout,proporcion,5,0.137662,0.103118,0.214286,bootstrap_percentil_20000,calculado
omission,2pc,100,5,inconsistencias,ordenes_o_eventos,5,40.0,35.0,68.0,bootstrap_percentil_20000,calculado
omission,2pc,100,5,tasa_inconsistencia,proporcion,5,0.100257,0.091864,0.174359,bootstrap_percentil_20000,calculado
