fallo,concurrencia,metrica,grupo_a,grupo_b,n_a,n_b,u,z_aprox,p_aprox,p_exacto,p_usado_bilateral,a12_2pc_mayor_saga,comparaciones_por_metrica,umbral_bonferroni,significativo_0_05,significativo_bonferroni,estado
none,200,tasa_abortos_checkout,2pc,saga,5,5,20.0,1.566699,0.117185,0.150793651,0.150793651,0.8,12,0.004166667,False,False,calculado
none,400,tasa_abortos_checkout,2pc,saga,5,5,15.0,0.522233,0.601508,0.69047619,0.69047619,0.6,12,0.004166667,False,False,calculado
omission,50,tasa_abortos_checkout,2pc,saga,5,5,14.0,0.31334,0.754023,0.841269841,0.841269841,0.56,12,0.004166667,False,False,calculado
omission,100,tasa_abortos_checkout,2pc,saga,5,5,16.0,0.731126,0.464702,0.547619048,0.547619048,0.64,12,0.004166667,False,False,calculado
omission,200,tasa_abortos_checkout,2pc,saga,5,5,20.0,1.566699,0.117185,0.150793651,0.150793651,0.8,12,0.004166667,False,False,calculado
omission,400,tasa_abortos_checkout,2pc,saga,5,5,13.0,0.104447,0.916815,1.0,1.0,0.52,12,0.004166667,False,False,calculado
timing,50,tasa_abortos_checkout,2pc,saga,5,5,13.0,0.104447,0.916815,,0.916815,0.52,12,0.004166667,False,False,calculado
timing,100,tasa_abortos_checkout,2pc,saga,5,5,22.0,1.984485,0.047202,0.055555556,0.055555556,0.88,12,0.004166667,False,False,calculado
timing,200,tasa_abortos_checkout,2pc,saga,5,5,24.0,2.402272,0.016294,0.015873016,0.015873016,0.96,12,0.004166667,True,False,calculado
timing,400,tasa_abortos_checkout,2pc,saga,5,5,13.0,0.104447,0.916815,1.0,1.0,0.52,12,0.004166667,False,False,calculado
none,50,inconsistencias,2pc,saga,5,5,7.5,-1.044466,0.29627,,0.29627,0.3,12,0.004166667,False,False,calculado
none,100,inconsistencias,2pc,saga,5,5,5.0,-1.566699,0.117185,,0.117185,0.2,12,0.004166667,False,False,calculado
none,200,inconsistencias,2pc,saga,5,5,9.0,-0.731126,0.464702,0.547619048,0.547619048,0.36,12,0.004166667,False,False,calculado
none,400,inconsistencias,2pc,saga,5,5,12.0,-0.104447,0.916815,,0.916815,0.48,12,0.004166667,False,False,calculado
omission,50,inconsistencias,2pc,saga,5,5,5.0,-1.566699,0.117185,0.150793651,0.150793651,0.2,12,0.004166667,False,False,calculado
omission,100,inconsistencias,2pc,saga,5,5,6.0,-1.357806,0.174525,,0.174525,0.24,12,0.004166667,False,False,calculado
omission,200,inconsistencias,2pc,saga,5,5,0.0,-2.611165,0.009023,0.007936508,0.007936508,0.0,12,0.004166667,True,False,calculado
omission,400,inconsistencias,2pc,saga,5,5,5.0,-1.566699,0.117185,0.150793651,0.150793651,0.2,12,0.004166667,False,False,calculado
timing,50,inconsistencias,2pc,saga,5,5,2.5,-2.088932,0.036714,,0.036714,0.1,12,0.004166667,True,False,calculado
timing,100,inconsistencias,2pc,saga,5,5,8.5,-0.835573,0.403395,,0.403395,0.34,12,0.004166667,False,False,calculado
timing,200,inconsistencias,2pc,saga,5,5,6.0,-1.357806,0.174525,0.222222222,0.222222222,0.24,12,0.004166667,False,False,calculado
timing,400,inconsistencias,2pc,saga,5,5,4.0,-1.775592,0.0758,0.095238095,0.095238095,0.16,12,0.004166667,False,False,calculado
none,50,tasa_inconsistencia,2pc,saga,5,5,7.5,-1.044466,0.29627,,0.29627,0.3,12,0.004166667,False,False,calculado
none,100,tasa_inconsistencia,2pc,saga,5,5,6.0,-1.357806,0.174525,,0.174525,0.24,12,0.004166667,False,False,calculado
none,200,tasa_inconsistencia,2pc,saga,5,5,10.0,-0.522233,0.601508,,0.601508,0.4,12,0.004166667,False,False,calculado
none,400,tasa_inconsistencia,2pc,saga,5,5,12.0,-0.104447,0.916815,,0.916815,0.48,12,0.004166667,False,False,calculado
omission,50,tasa_inconsistencia,2pc,saga,5,5,7.0,-1.148913,0.250592,,0.250592,0.28,12,0.004166667,False,False,calculado
omission,100,tasa_inconsistencia,2pc,saga,5,5,6.0,-1.357806,0.174525,,0.174525,0.24,12,0.004166667,False,False,calculado
omission,200,tasa_inconsistencia,2pc,saga,5,5,3.0,-1.984485,0.047202,,0.047202,0.12,12,0.004166667,True,False,calculado
omission,400,tasa_inconsistencia,2pc,saga,5,5,5.5,-1.462252,0.143672,,0.143672,0.22,12,0.004166667,False,False,calculado
timing,50,tasa_inconsistencia,2pc,saga,5,5,2.5,-2.088932,0.036714,,0.036714,0.1,12,0.004166667,True,False,calculado
timing,100,tasa_inconsistencia,2pc,saga,5,5,9.0,-0.731126,0.464702,,0.464702,0.36,12,0.004166667,False,False,calculado
timing,200,tasa_inconsistencia,2pc,saga,5,5,9.0,-0.731126,0.464702,,0.464702,0.36,12,0.004166667,False,False,calculado
timing,400,tasa_inconsistencia,2pc,saga,5,5,7.0,-1.148913,0.250592,,0.250592,0.28,12,0.004166667,False,False,calculado
