Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/categorias,267,4,1200.0,956.4102737824711,6.032099947333336,3960.4531999793835,146.45318352059925,4.665342430194041,0.06989277048979838,1200,1400,1600,1700,1900,2100,2600,3700,4000,4000,4000
GET,GET /api/marcas,262,2,1300.0,1021.4689713705043,5.626600002869964,3942.655300023034,125.89312977099236,4.577976467081793,0.03494638524489919,1300,1500,1700,1800,1900,1900,2100,3500,3900,3900,3900
GET,GET /api/productos,676,0,1300.0,991.8392733721573,7.214499986730516,3944.0332999802195,281.99112426035504,11.811878212775925,0.0,1300,1500,1600,1700,1800,1900,2400,2900,3900,3900,3900
GET,GET /api/provincias,133,0,1200.0,930.1683676680304,9.008900029584765,3583.440700022038,135.0,2.323934618785796,0.0,1200,1400,1600,1600,1800,2100,2900,3300,3600,3600,3600
,Aggregated,1338,6,1300.0,984.4410727192962,5.626600002869964,3960.4531999793835,209.76681614349775,23.379131728837557,0.10483915573469756,1300,1500,1600,1700,1900,1900,2600,3400,3900,4000,4000
