Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/categorias,13,9,33000.0,24004.488572769238,65.30953500009673,37556.542840000024,109.6923076923077,0.3043738577492346,0.21072036305716238,33000,33000,35000,36000,37000,38000,38000,38000,38000,38000,38000
GET,GET /api/marcas,15,8,33000.0,19474.683939733328,67.15352800006258,38209.76964199997,85.06666666666666,0.3512006050952706,0.18730698938414433,33000,35000,38000,38000,38000,38000,38000,38000,38000,38000,38000
GET,GET /api/productos,37,14,350.0,13634.98501218918,33.156567999981235,38459.235934999924,60.891891891891895,0.8662948259016676,0.3277872314222526,350,33000,35000,35000,37000,38000,38000,38000,38000,38000,38000
GET,GET /api/provincias,3,3,33000.0,32663.579339999997,32000.185472999987,33064.08386399994,25.0,0.07024012101905414,0.07024012101905414,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
,Aggregated,68,34,480.0,17745.055794308817,33.156567999981235,38459.235934999924,73.97058823529412,1.5921094097652269,0.7960547048826134,32000,33000,35000,36000,38000,38000,38000,38000,38000,38000,38000
